id,name,url
114,Sakigake_Cromartie_Koukou,https://myanimelist.net/anime/114/Sakigake_Cromartie_Koukou
115,El_Hazard__The_Alternative_World,https://myanimelist.net/anime/115/El_Hazard__The_Alternative_World
116,El_Hazard__The_Wanderers,https://myanimelist.net/anime/116/El_Hazard__The_Wanderers
117,El_Hazard__The_Magnificent_World,https://myanimelist.net/anime/117/El_Hazard__The_Magnificent_World
118,El_Hazard_2__The_Magnificent_World,https://myanimelist.net/anime/118/El_Hazard_2__The_Magnificent_World
119,Final_Approach,https://myanimelist.net/anime/119/Final_Approach
120,Fruits_Basket,https://myanimelist.net/anime/120/Fruits_Basket
121,Fullmetal_Alchemist,https://myanimelist.net/anime/121/Fullmetal_Alchemist
122,Full_Moon_wo_Sagashite,https://myanimelist.net/anime/122/Full_Moon_wo_Sagashite
123,Fushigi_Yuugi,https://myanimelist.net/anime/123/Fushigi_Yuugi
124,Fushigi_Yuugi__Eikouden,https://myanimelist.net/anime/124/Fushigi_Yuugi__Eikouden
125,Futakoi,https://myanimelist.net/anime/125/Futakoi
126,Futakoi_Alternative,https://myanimelist.net/anime/126/Futakoi_Alternative
127,Gate_Keepers,https://myanimelist.net/anime/127/Gate_Keepers
128,Gate_Keepers_21,https://myanimelist.net/anime/128/Gate_Keepers_21
129,Gensoumaden_Saiyuuki,https://myanimelist.net/anime/129/Gensoumaden_Saiyuuki
130,Saiyuuki_Reload,https://myanimelist.net/anime/130/Saiyuuki_Reload
131,Saiyuuki_Reload_Gunlock,https://myanimelist.net/anime/131/Saiyuuki_Reload_Gunlock
132,GetBackers,https://myanimelist.net/anime/132/GetBackers
133,Green_Green,https://myanimelist.net/anime/133/Green_Green
134,Gunslinger_Girl,https://myanimelist.net/anime/134/Gunslinger_Girl
135,Hikaru_no_Go,https://myanimelist.net/anime/135/Hikaru_no_Go
136,Hunter_x_Hunter,https://myanimelist.net/anime/136/Hunter_x_Hunter
137,Hunter_x_Hunter_OVA,https://myanimelist.net/anime/137/Hunter_x_Hunter_OVA
138,Hunter_x_Hunter__Greed_Island,https://myanimelist.net/anime/138/Hunter_x_Hunter__Greed_Island
139,Hunter_x_Hunter__Greed_Island_Final,https://myanimelist.net/anime/139/Hunter_x_Hunter__Greed_Island_Final
141,Jinki_Extend,https://myanimelist.net/anime/141/Jinki_Extend
142,Kamikaze_Kaitou_Jeanne,https://myanimelist.net/anime/142/Kamikaze_Kaitou_Jeanne
143,Kannazuki_no_Miko,https://myanimelist.net/anime/143/Kannazuki_no_Miko
144,Kanon,https://myanimelist.net/anime/144/Kanon
145,Kareshi_Kanojo_no_Jijou,https://myanimelist.net/anime/145/Kareshi_Kanojo_no_Jijou
146,Kono_Minikuku_mo_Utsukushii_Sekai,https://myanimelist.net/anime/146/Kono_Minikuku_mo_Utsukushii_Sekai
147,Kimi_ga_Nozomu_Eien,https://myanimelist.net/anime/147/Kimi_ga_Nozomu_Eien
148,Kita_e__Diamond_Dust_Drops,https://myanimelist.net/anime/148/Kita_e__Diamond_Dust_Drops
149,Loveless,https://myanimelist.net/anime/149/Loveless
150,Blood_,https://myanimelist.net/anime/150/Blood_
151,Re__Cutie_Honey,https://myanimelist.net/anime/151/Re__Cutie_Honey
152,Solty_Rei,https://myanimelist.net/anime/152/Solty_Rei
153,Juuni_Kokuki,https://myanimelist.net/anime/153/Juuni_Kokuki
